2023-03-23 14:51:29.168[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[jack]抢到了，第[3]票，余票[7]
2023-03-23 14:51:29.168[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[tom]抢到了，第[4]票，余票[6]
2023-03-23 14:51:29.278[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.278[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[tom]抢到了，第[5]票，余票[5]
2023-03-23 14:51:29.278[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.278[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[jack]抢到了，第[6]票，余票[4]
2023-03-23 14:51:29.387[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.387[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.387[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[tom]抢到了，第[7]票，余票[3]
2023-03-23 14:51:29.387[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[jack]抢到了，第[8]票，余票[2]
2023-03-23 14:51:29.497[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.497[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.497[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[jack]抢到了，第[9]票，余票[1]
2023-03-23 14:51:29.497[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[tom]抢到了，第[10]票，余票[0]
2023-03-23 14:51:29.606[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.606[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
