2023-05-17 15:03:32.167[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2023-05-17 15:03:32.360[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Initializing Spring embedded WebApplicationContext
2023-05-17 15:03:32.361[main][org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:285] INFO  - Root WebApplicationContext: initialization completed in 3157 ms
2023-05-17 15:03:32.479[main][com.lp.zk_curator.demo_up.config.CuratorConfig:29] INFO  - 【配置】开始连接ZOOKEEPER
2023-05-17 15:03:32.556[main][org.apache.curator.framework.imps.CuratorFrameworkImpl:238] INFO  - Starting
2023-05-17 15:03:32.570[main][org.apache.zookeeper.Environment:100] INFO  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2023-05-17 15:03:32.570[main][org.apache.zookeeper.Environment:100] INFO  - Client environment:host.name=DESKTOP-T987IHU.mshome.net
2023-05-17 15:03:32.571[main][org.apache.zookeeper.Environment:100] INFO  - Client environment:java.version=1.8.0_281
2023-05-17 15:03:32.572[main][org.apache.zookeeper.Environment:100] INFO  - Client environment:java.vendor=Oracle Corporation
2023-05-17 15:03:32.572[main][org.apache.zookeeper.Environment:100] INFO  - Client environment:java.home=D:\Install\Jdk8\jre
